arquivo;status;natureza;referencias;paginas_que_referenciam
minicurso/Image26.gif;não recuperada;figura/conteúdo;1;minicurso/CursoCarmenPortugues.html
minicurso/Image27.gif;recuperada;figura/conteúdo;1;minicurso/CursoCarmenPortugues.html
minicurso/Image28.gif;recuperada;figura/conteúdo;1;minicurso/CursoCarmenPortugues.html
minicurso/Image7.gif;recuperada;figura/conteúdo;1;minicurso/CursoCarmenEspanhol.html
minicurso/Image8.gif;recuperada;figura/conteúdo;1;minicurso/CursoCarmenEspanhol.html
minicurso/Image9.gif;recuperada;figura/conteúdo;1;minicurso/CursoCarmenEspanhol.html
pasta1/Image2.gif;não recuperada;figura/conteúdo;1;pasta1/art1.html
pasta1/Image3.gif;não recuperada;figura/conteúdo;1;pasta1/art1.html
pasta1/Image4.gif;não recuperada;figura/conteúdo;1;pasta1/art2.html
pasta1/Image5.gif;não recuperada;figura/conteúdo;1;pasta1/art2.html
pasta1/Image6.jpg;não recuperada;figura/conteúdo;1;pasta1/art3.html
pasta2/Image10.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image11.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image12.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image13.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image14.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image15.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image16.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image17.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image18.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image19.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image2.jpg;não recuperada;figura/conteúdo;1;pasta2/art3p2.html
pasta2/Image20.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image21.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image22.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image23.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image24.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image25.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image26.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image27.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image28.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image29.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image3.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image30.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image31.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image32.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image33.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image34.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image35.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image36.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image37.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image38.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image39.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image4.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image40.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image41.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image42.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image43.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image44.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image45.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
